YearMade,WallType,RoofType,NumOfBedrooms,StovenFuelType,HeatingEquipmentType,HeatingEquipmentAge,NumOfRoomsHeated,FuelUsedForWaterHeating,WaterHeaterSize,AirConditioning,NumOfRoomsCooled,NumOfWindows,TotalSquareHeated,TotalSquareCooled,ElectricityConsumption,HeatingEquipmentAge_num
1975,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Medium,True,6,30,1466,1466,8622,7
1960,Stucco,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,<2 Years old,5,Natural Gas,Medium,True,5,41,1808,1808,9427,1
1986,Brick,Unknown,3,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Large,True,6,20,1639,1639,13470,7
1990,Concrete,Unknown,2,Electricity,Central Warm-Air Furnace,2-4 Years old,4,Natural Gas,Small,True,4,30,1026,1026,4067,3
1995,Siding,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,5,Natural Gas,Medium,True,5,41,1216,1216,9814,12
1980,Siding,Unknown,2,Electricity,Central Warm-Air Furnace,>20 Years old,4,Electricity,Small,True,4,20,1096,1096,14505,22
1983,Wood,Composition Shingles,2,Electricity,Central Warm-Air Furnace,2-4 Years old,4,Electricity,Medium,True,4,41,1984,1984,15571,3
1958,Brick,Wood Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,7,Electricity,Medium,True,7,50,2006,2006,22567,12
1998,Siding,Unknown,2,Electricity,Central Warm-Air Furnace,10-14 Years old,3,Electricity,Small,True,3,20,766,766,6161,12
1960,Concrete,Composition Shingles,2,-,Heat Pump,10-14 Years old,6,Electricity,Medium,True,6,42,1220,1220,9621,12
2005,Brick,Composition Shingles,2,Electricity,Heat Pump,5-9 Years old,3,Electricity,Medium,True,3,20,1055,1055,10965,7
1993,Brick,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Medium,True,5,30,1259,1259,5751,22
1967,Siding,Composition Shingles,3,Electricity,Heat Pump,<2 Years old,6,Natural Gas,Medium,True,6,30,1332,1332,11538,1
1964,Wood,Asphalt,3,-,Central Warm-Air Furnace,15-19 Years old,5,Natural Gas,Medium,True,5,41,2820,2820,11271,17
1958,Siding,Asphalt,3,Natural Gas,Central Warm-Air Furnace,2-4 Years old,6,Natural Gas,Medium,True,6,41,1896,1896,7003,3
1996,Wood,Metal,3,Electricity,Central Warm-Air Furnace,10-14 Years old,5,Electricity,Medium,True,5,41,1437,1437,24563,12
1972,Brick,Composition Shingles,3,Electricity,Heat Pump,15-19 Years old,6,Electricity,Medium,True,6,30,1820,1820,27328,17
1980,Stucco,Composition Shingles,4,Natural Gas,Central Warm-Air Furnace,<2 Years old,7,Natural Gas,Medium,True,7,41,1800,1800,9362,1
1943,Siding,Asphalt,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,6,Natural Gas,Medium,True,6,50,3088,3088,13830,12
1994,Siding,Asphalt,4,Electricity,Central Warm-Air Furnace,2-4 Years old,7,Electricity,Large,True,7,41,2049,2049,17055,3
2001,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Medium,True,5,30,1155,1155,10626,7
1982,Wood,Composition Shingles,2,Electricity,Central Warm-Air Furnace,15-19 Years old,5,Natural Gas,Small,True,5,30,586,586,5960,17
1987,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,>20 Years old,6,Natural Gas,Medium,True,6,41,1955,1955,4210,22
1960,Wood,Composition Shingles,3,-,Central Warm-Air Furnace,<2 Years old,6,Electricity,Medium,True,6,30,2720,2720,7337,1
2000,Siding,Asphalt,4,Natural Gas,Central Warm-Air Furnace,10-14 Years old,7,Electricity,Large,True,7,50,2012,2012,12302,12
1950,Brick,Wood Shingles,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,5,Natural Gas,Large,True,5,30,1956,1956,8272,12
1971,Siding,Asphalt,2,Electricity,Central Warm-Air Furnace,2-4 Years old,6,Electricity,Medium,True,6,41,1728,1728,15425,3
1990,Wood,Unknown,3,Electricity,Central Warm-Air Furnace,15-19 Years old,5,Electricity,Large,True,5,20,1325,1325,10998,17
2003,Concrete,Unknown,3,Electricity,Central Warm-Air Furnace,5-9 Years old,4,Electricity,Medium,True,4,42,1456,1456,9848,7
1973,Brick,Composition Shingles,4,Electricity,Central Warm-Air Furnace,<2 Years old,8,Electricity,Large,True,8,30,2958,2958,27391,1
1995,Siding,Asphalt,3,Natural Gas,Central Warm-Air Furnace,5-9 Years old,5,Natural Gas,Medium,True,5,41,1820,1820,8267,7
1978,Stucco,Wood Shingles,3,Electricity,Heat Pump,2-4 Years old,6,Electricity,Medium,True,6,30,1875,1875,4756,3
1950,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,15-19 Years old,7,Natural Gas,Large,True,7,41,1344,1344,9623,17
1955,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,<2 Years old,7,Natural Gas,Medium,True,7,41,1512,1512,10490,1
1986,Stucco,Composition Shingles,4,Natural Gas,Central Warm-Air Furnace,>20 Years old,7,Natural Gas,Large,True,7,41,2204,2204,16327,22
1977,Siding,Composition Shingles,4,Electricity,Central Warm-Air Furnace,>20 Years old,7,Natural Gas,Large,True,7,30,417,417,3884,22
1990,Wood,Composition Shingles,3,Electricity,Central Warm-Air Furnace,2-4 Years old,4,Electricity,Medium,True,4,20,1538,1538,23070,3
1955,Brick,Composition Shingles,2,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Natural Gas,Small,True,5,41,1430,1144,2724,7
1955,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,15-19 Years old,7,Electricity,Medium,True,7,50,1359,1359,9897,17
2004,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Medium,True,5,30,860,860,8507,7
1943,Wood,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,>20 Years old,4,Natural Gas,Medium,True,3,41,740,555,10894,22
1976,Siding,Metal,2,Electricity,Central Warm-Air Furnace,10-14 Years old,4,Electricity,Small,True,4,30,1008,1008,16984,12
2005,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,2-4 Years old,7,Electricity,Medium,True,7,30,1800,1800,9232,3
1974,Brick,Asphalt,4,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Small,True,6,41,1607,1607,11494,7
1972,Wood,Composition Shingles,4,Natural Gas,Central Warm-Air Furnace,2-4 Years old,7,Natural Gas,Medium,True,7,50,1916,1916,7738,3
2003,Stucco,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Electricity,Large,True,6,41,1680,1680,14133,7
1978,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,6,Natural Gas,Medium,True,6,30,1888,1888,8450,12
